微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J7S3icbfy,恭喜这位网易云用户获得一等奖抑郁症一例 ——野心煮酒  ,,无,无,无,2020-06-22 23:33,微博 weibo.com,817,20,48
J7REWjBNc,你说你要辱法，我倒要看看你是怎么个辱法 ——老罗叔  ,,无,无,无,2020-06-22 22:33,微博 weibo.com,704,13,47
J7RgAhkz1,百度云，你是不是有点飘了？ ——老罗叔  ,,无,无,无,2020-06-22 21:33,微博 weibo.com,637,7,25
J7QSeoeMg,我弟弟每天都起得比我早，杵在那等我。——@长老姓汪  ,,无,无,无,2020-06-22 20:33,微博 weibo.com,947,19,52
J7QtSkx3Z,借花呗献佛——@或许是只桔猫  ,,无,无,无,2020-06-22 19:33,微博 weibo.com,635,13,39
J7Q5x2Pc7,王警官上班第一天忘穿警服，自称便衣警察以避免上级惩罚——红叶枫了2333  ,,无,无,无,2020-06-22 18:33,微博 weibo.com,918,24,31
J7PHaoM8N,科举又叫隋唐小测——吧拉巴拉bal  ,,无,无,无,2020-06-22 17:33,微博 weibo.com,1030,82,43
J7PiOwQKK,时间就是金钱，所以世界首富另有其人——暗Lrence  ,,无,无,无,2020-06-22 16:33,微博 weibo.com,1976,97,181
J7O44dT4Z,为什么我还没见过城北徐公，我妻妾都见过了？ ——旋风忍者  ,,无,无,无,2020-06-22 13:23,微博 weibo.com,1391,51,93
J7O28gLPA,#弱智吧每周最佳# 2020年下半年的第一次投票，依旧来自转评赞数据，大家投吧1.将两位人上人关在一起竟组成永动机2.父亲节是个种族歧视的节日3.马德堡半球实验用了16匹马，成功证明费马大定理4.我用北斗七星挖了一勺天上的糖 2020年第27周周最佳  ,,无,无,无,2020-06-22 13:19,宣和四年的Android,9552,67,163
J7NjbqS4W,激光除痔疮，是正道的光。——@一只犀利的花蚂蚁  ,,无,无,无,2020-06-22 11:28,宣和四年的Android,356,10,28
J7N4bvU7Q,【牛子特辑】虎父无牛子 ——@本当饺子大牛子吃的是草，挤出来的是奶 ——@Nardin横眉冷对千夫指，俯首甘为汝牛子。  ——@Siri男友的哥哥红孩儿，是不是也被称为牛子？ ——@段子手陈二狗不入牛穴，焉得牛子 ——@但世界拥挤不堪  ,,无,无,无,2020-06-22 10:51,宣和四年的Android,533,42,95
J7IlS4goQ,"大郎,喝了吧,是毒三分药——正华感谢田主任  ",,无,无,无,2020-06-21 22:51,微博 weibo.com,999,27,49
J7HUVD5bI,“敢坏我的事，我要你好看。” 说着恶霸就请来了美容师——洛水青鸾丶  ,,无,无,无,2020-06-21 21:44,宣和四年的Android,580,12,32
J7HSX5tBN,“我叫龘靐。”“你笔画好多。”——@新之助和破坏球都有屁屁神功  ,,无,无,无,2020-06-21 21:40,宣和四年的Android,750,24,56
J7HhA9A0J,小明将脑袋加热，企图让思想升华——傲天旧梦_  ,,无,无,无,2020-06-21 20:08,宣和四年的Android,465,12,33
J7GSKAZV3,开飞机的这么嚣张吗？我挥手他都不停。——阿拉伯安图  ,,无,无,无,2020-06-21 19:06,宣和四年的Android,730,9,35
J7FPhb1hM,厕所是什么？厕所是怎么回事？为什么会有人上厕所？接下来小便就带您了解一下——此吧右上角之父  ,,无,无,无,2020-06-21 16:25,宣和四年的Android,689,9,43
J7FsepI4J,随着皇宫里传来的一阵啼哭，新的小王子呱呱坠地，变成了青蛙——lsk1116928  ,,无,无,无,2020-06-21 15:28,宣和四年的Android,905,21,60
J7ESLkHQP,懂了和知了什么关系？——@雨季会降临赤地  ,,无,无,无,2020-06-21 14:01,宣和四年的Android,567,7,39
J7DUzxMEV,父亲节是个种族歧视的节日。——@一只犀利的花蚂蚁  ,,无,无,无,2020-06-21 11:33,宣和四年的Android,3658,521,199
J7zciyv1N,面对歹徒的无理要求，李警官只好离开——傲天旧梦_  ,,无,无,无,2020-06-20 23:33,微博 weibo.com,731,10,33
J7yNX8DQ8,公交车上睡着导致坐过站醒来时窗外已经是冥王星表面了 ——旺星人票昌  ,,无,无,无,2020-06-20 22:33,微博 weibo.com,548,37,44
J7ypAzKpe,人之将死，其言也善。我伤得这么重，怎么会说谎呢。就是你撞的我 ——旋风忍者  ,,无,无,无,2020-06-20 21:33,微博 weibo.com,621,21,26
J7y1eBtpk,社交恐惧症吧至今无一人关注 ——刚刚会空军  ,,无,无,无,2020-06-20 20:33,微博 weibo.com,941,12,25
J7xCSD9qm,被父母骂是沸物的小明当场人间蒸发 ——污克兰  ,,无,无,无,2020-06-20 19:33,微博 weibo.com,700,36,38
J7xewEKUR,“你再叫把你的腿打折！”食人族摊主对着货架上的活人威胁道——此吧右上角之父  ,,无,无,无,2020-06-20 18:33,微博 weibo.com,448,6,20
J7wQb1Vd6,老同学突然发来消息说她的孩子参加米果总桶评选让我去投一票 ——残页技术  ,,无,无,无,2020-06-20 17:33,微博 weibo.com,532,2,26
J7wrP3slw,看着紧锁的大门，小偷只好掏出勺子吃起了闭门羹——nsuekaas  ,,无,无,无,2020-06-20 16:33,微博 weibo.com,599,15,27
J7w3t5NM1,您好，您的话费余额已不足一亿元，请及时充值。——春之空  ,,无,无,无,2020-06-20 15:33,微博 weibo.com,670,4,36
J7vF78Vsr,本凌迟服务前100刀是免费的，要继续下去是要给钱的。 ——夏之空  ,,无,无,无,2020-06-20 14:33,微博 weibo.com,489,3,41
J7vpcwMbo,空气潮湿衣服洗完迟迟不干可以绑在银河系的旋臂上甩干 ——旺星人票昌  ,,无,无,无,2020-06-20 13:53,微博 weibo.com,402,23,29
J7v01oj9t,今天公主号更新的是阴间合集  原图 ,,http://wx1.sinaimg.cn/large/006gMemDgy1gfynu4futhj30u01t04c5.jpg,无,无,2020-06-20 12:51,宣和四年的Android,186,3,13
J7tJpB7uA,马德堡半球实验用了16匹马，成功证明费马大定理——漂泊中的信天翁  ,,无,无,无,2020-06-20 09:38,宣和四年的Android,951,51,55
J7o9xELhB,太阳知道自己在地球这么火吗？——L无声嘶吼S  ,,无,无,无,2020-06-19 19:26,微博 weibo.com,852,20,55
J7nE5b3pd,天气太热，小明为了避暑无奈躲进阴间——不明人士000  ,,无,无,无,2020-06-19 18:08,宣和四年的Android,927,19,47
J7nsRgkXN,老师总批评我成绩差没前途我是不是被pua了？——@雨声敲敲  ,,无,无,无,2020-06-19 17:40,宣和四年的Android,1115,23,39
J7ncxc9b3,2020#弱智吧上半年精选#  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/006gMemDgy1gh45z34f8qj30ri3idnbo.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gfxpevzt1rj30ri31k14f.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gfxpewr2u5j30ri3k8tmx.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gfxpexi9axj30ri3awtmb.jpg,http://ww1.sinaimg.cn/large/006gMemDgy1gfxpey8anmj30ri35aqfj.jpg,http://ww1.sinaimg.cn/large/006gMemDgy1gfxpeyxhfsj30ri2bfwmz.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gfxpezmb4xj30ri2f5gvh.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gfxpf087r7j30ri2f5n74.jpg,http://ww1.sinaimg.cn/large/006gMemDgy1gh45z1yoayj30ri2p8nj1.jpg",无,无,2020-06-19 17:00,宣和四年的Android,44023,28683,3755
J7muDty3j,带你看非洲部落恐怖畸形人：走路用双脚，眼睛长脸上——旺星人票昌  ,,无,无,无,2020-06-19 15:12,360安全浏览器,565,5,24
J7mtTln46,我老婆今天跟我说话了她是不是喜欢我？——L无声嘶吼S  ,,无,无,无,2020-06-19 15:10,360安全浏览器,904,8,37
J7kUD0etz,小区的天气不好物管却毫无作为——二手弱智  ,,无,无,无,2020-06-19 11:11,微博 weibo.com,634,9,27
J7kwh27vq,食人族发现双胞胎的时候兴奋的说：“呀！双黄蛋！”——@POWEHI1015  ,,无,无,无,2020-06-19 10:11,微博 weibo.com,743,13,37
J7k7V17S3,村里交通不便，村民们要过河只能坐浮尸——@蒼井十一  ,,无,无,无,2020-06-19 09:11,微博 weibo.com,1307,27,51
J7jJz80Bo,放鞭炮时捂住耳朵是不是一种浪费？——@长老姓汪  ,,无,无,无,2020-06-19 08:11,微博 weibo.com,1388,88,57
J7glj99lt,“现在什么工作压力最小？”“飞行员，或者宇航员”——小屁孩他231  ,,无,无,无,2020-06-18 23:33,微博 weibo.com,621,8,32
J7gcnoDQv,摸不上牌的老头带上助听器胡牌率大增——L无声嘶吼S  ,,无,无,无,2020-06-18 23:11,微博 weibo.com,413,4,26
J7g5SDvTY,小明一生都没有抽到SSR最终死于非命——傲天旧梦_  ,,无,无,无,2020-06-18 22:55,微博 weibo.com,666,44,70
J7fWXaJyn,烧一半埋一半叫什么葬？——ll一_一o  ,,无,无,无,2020-06-18 22:33,微博 weibo.com,4539,100,143
J7fO1nF5E,"孩子出生就喊:""Hello world !""有没有当程序员的天赋？——竹清海芋  ",,无,无,无,2020-06-18 22:11,微博 weibo.com,2142,44,103
J7fHx1BT0,将两位人上人关在一起竟组成永动机——@咩哈哈altime  ,,无,无,无,2020-06-18 21:55,微博 weibo.com,848,31,51
J7fpG671B,这病人也没啥复杂的情况，你们买个骨灰盒就完事了。——柛  ,,无,无,无,2020-06-18 21:11,微博 weibo.com,481,7,33
J7f1juSoS,还魂夜有鬼魂表示实在还不起了能不能通融几天。——夏之空  ,,无,无,无,2020-06-18 20:11,微博 weibo.com,419,5,20
J7eUOFOAX,石灰水：澄清一下我是清白的——老罗叔  ,,无,无,无,2020-06-18 19:55,微博 weibo.com,415,6,25
J7eLTjpzh,我们怀疑你跟一起星体坍缩案有关，请跟我们走一趟——@蒼井十一  ,,无,无,无,2020-06-18 19:33,微博 weibo.com,408,8,26
J7eCXy109,啃老族小明要求阴间的爸妈烧点纸钱给他用——xxxxoYY  ,,无,无,无,2020-06-18 19:11,微博 weibo.com,675,11,39
J7enxhiUH,领导要来巡视太平间，把长得好看的尸体拉出来列队欢迎。——夏之空  ,,无,无,无,2020-06-18 18:33,微博 weibo.com,680,15,42
J7eeBztYz,大陆电视剧为什么要说台词？——月夜魔术师  ,,无,无,无,2020-06-18 18:11,微博 weibo.com,1766,17,72
J7dZbjmef,夸父为什么不去帮司马光——@斋藤飞鸟的妹妹斋藤肥鸡  ,,无,无,无,2020-06-18 17:33,微博 weibo.com,404,4,51
J7dNi6Mxs,长期从事反传销的王警官终于患上了哮喘——光谷怎么写  ,,无,无,无,2020-06-18 17:03,360安全浏览器,645,25,34
J7dDJjSzN,我妈走进我房间骂我算不算寻衅滋事——用户您太长  ,,无,无,无,2020-06-18 16:40,360安全浏览器,2481,195,78
J7cYUa8Cq,我的被子偷吃了我买的喜之郎，变成了太空被。 ——@遍历二叉树_  ,,无,无,无,2020-06-18 14:59,宣和四年的Android,499,13,31
J76LSyNZQ,我天天想黄色的事，拉黄色的屎。由此说明我的思维器官是大肠——老铁一枚  ,,无,无,无,2020-06-17 23:11,微博 weibo.com,662,25,59
J76nwATrW,学霸天天沉迷上网课，网瘾很大啊。——竹清海芋  ,,无,无,无,2020-06-17 22:11,微博 weibo.com,591,10,16
J75ZaB9xg,别活着了，会死的——唯韵希颜  ,,无,无,无,2020-06-17 21:11,微博 weibo.com,911,78,52
J75AOFl6Z,冬冲夏草——100vicecity  ,,无,无,无,2020-06-17 20:11,微博 weibo.com,696,13,47
J75ct0pHA,“我和你妈同时pick up你氪谁？”——小明的纸片人老婆发问——每次都重新登陆  ,,无,无,无,2020-06-17 19:11,微博 weibo.com,801,20,34
J74pL4vFU,开瓶费和封口费为什么差了那么多？——月夜魔术师  ,,无,无,无,2020-06-17 17:11,微博 weibo.com,613,8,44
J73D35xaR,为什么明清的皇帝都住在景区里？——SH夏福  ,,无,无,无,2020-06-17 15:11,微博 weibo.com,1310,32,59
J72QlezEO,单身四十年的王老汉精通各种手术——光谷怎么写  ,,无,无,无,2020-06-17 13:11,微博 weibo.com,340,5,26
J72aWfLOz,我用北斗七星挖了一勺天上的糖——@POWEHI1015  ,,无,无,无,2020-06-17 11:29,宣和四年的Android,1134,160,100
J723DfSmo,发现逃不出五指山后，孙悟空成功使用唯物法让如来佛消失了——用户您太长  ,,无,无,无,2020-06-17 11:11,微博 weibo.com,957,24,39
J71gVnh75,新衣服买过来千万不能直接穿！否则就变成穿过的衣服了——社会肥宅阿雷哥  ,,无,无,无,2020-06-17 09:11,微博 weibo.com,425,8,33
J6Xlo1Epx,警官，你们都说被害人是死于他杀了，那为什么还要抓我——嫔克缤儿  ,,无,无,无,2020-06-16 23:11,微博 weibo.com,488,3,41
J6WX23Meo,孩子必须随我姓！男妈妈要求到——L无声嘶吼S  ,,无,无,无,2020-06-16 22:11,微博 weibo.com,815,16,40
J6WyG6n1j,“木大木大木大木大”光头强开心地说——籽闵  ,,无,无,无,2020-06-16 21:11,微博 weibo.com,889,15,51
J6Wak6hZp,为了探究上帝是否能创造出他搬不起来的石头，王老汉决定使用逆否证明法，开始研究石头能否创造它搬的起来的上帝。——@北纬路甲一号花屋小三郎  ,,无,无,无,2020-06-16 20:11,微博 weibo.com,339,17,21
J6VVwgGsF,“我上头了。”跳蚤说。——@新之助和破坏球都有屁屁神功  ,,无,无,无,2020-06-16 19:34,宣和四年的Android,454,10,29
J6VLYaGHO,美女总裁下嫁公司保安，婚后两年竟然发现丈夫真实身份居然真是保安。——永生的蓝玫瑰  ,,无,无,无,2020-06-16 19:11,微博 weibo.com,1406,27,56
J6VwP5F9U,【侮辱吧主两则】这是专门为公孙先生写的《入门指南》——小喪的哭號公孫先生經歷了一場激烈的戰門——abcdqhydw  ,,无,无,无,2020-06-16 18:33,360安全浏览器,408,5,25
J6UaWoR0X,兄弟萌，我女朋友失恋了，伴郎不是我，这葬礼我还去不去了？ ——@欢欢是个废物  ,,无,无,无,2020-06-16 15:07,宣和四年的Android,592,18,48
J6TCtmm5x,校长这次我又及格了，你啥时候兑现承诺把王老师许配给我？——@蒼井十一  ,,无,无,无,2020-06-16 13:42,宣和四年的Android,558,3,25
J6TvqmXP6,睡觉的那位同学，站起来讲一下你刚刚做的什么梦。 ——@改个ID换个心情吧  ,,无,无,无,2020-06-16 13:24,宣和四年的Android,670,9,44
J6SRewlK8,我抽烟、喝酒、纹身，聚众打架，基疤贼大，可我是个好女孩——@蒼井十一  ,,无,无,无,2020-06-16 11:45,宣和四年的Android,993,12,72
J6SrH01WZ,出生的反义词是入死。 ——@奇思乱想吧  ,,无,无,无,2020-06-16 10:42,宣和四年的Android,591,13,59
J6S8XjPh3,每月1号和16号换头像，本次头像是@瓶子里的神QuQ 的作品，十分感谢，如果想要给我画头像的可以私信我，或者评论区留言，我都会看到。  原图 ,,http://wx2.sinaimg.cn/large/006gMemDgy1gftw8ke0bvj30lk0lk40l.jpg,无,无,2020-06-16 09:56,宣和四年的Android,556,3,60
J6OgWoCAt,同学们，请先打开课本第126页，再趴下睡觉，这样不硌胳膊。——@改个ID换个心情吧  ,,无,无,无,2020-06-16 00:05,宣和四年的Android,748,20,34
J6O5nbGt5,校运会上多名长跑运动员围着操场跑了九年后终于形成了稳定的星系——@蒼井十一  ,,无,无,无,2020-06-15 23:36,宣和四年的Android,491,16,22
J6NVaebLW,铁扇公主对牛谈情 ——@第七迷雾  ,,无,无,无,2020-06-15 23:11,宣和四年的Android,596,13,38
J6NdOqJKa,一朝被蛇咬，十年来圆坟。——@東阳学掌  ,,无,无,无,2020-06-15 21:24,宣和四年的Android,429,12,30
J6MYFFCfY,破处后的小明终于写出了第一篇日记。 ——@改个ID换个心情吧  ,,无,无,无,2020-06-15 20:47,宣和四年的Android,936,18,57
J6MB4sDuB,#弱智吧每周最佳# 2020年第26周周最佳，候选人依旧来自转评赞数据，以下是本周最佳的候选：1、组织上同意了罪犯的宽大处理，给他定制了oversized寿衣。2、“很抱歉，我没能挽回他的生命。”医生一边这样说着一边来了一个后空翻，“不过没事，我已经给他整活了。”3、田忌赛马，吉普赛人。木已成舟，蚂蚁森林。臣本布衣，草本植物。十年树木，一周树人。4、种族歧视又叫做以色列人另外：第26周结束意味着2020年上半年的结束，将在近期发出2020年上半年年度精选，大家可以把今年上半年印象深刻的贴子留在评论区！ 2020年第26周                                 ,,无,无,无,2020-06-15 19:49,宣和四年的Android,6296,104,143
J6M77AwCW,接触不良少女。 ——@肉肉lin  ,,无,无,无,2020-06-15 18:35,宣和四年的Android,1891,207,78
J6L7xwhjs,由于习惯 男子每次翻脸不认人之前都要舔一下手指 ——@MSR创始人  ,,无,无,无,2020-06-15 16:03,宣和四年的Android,318,5,26
J6KDfDhYQ,小明大白天挖开祖坟被赞光宗耀祖。 ——@宇宙级树莓酱  ,,无,无,无,2020-06-15 14:49,宣和四年的Android,348,5,21
J6JVn1wHd,#无情对# 坐地日行八万里，凭空中出十三次。——@宇宙级树莓酱  ,,无,无,无,2020-06-15 13:01,宣和四年的Android,291,8,39
J6Jjq34Cm,生孩子之前需要办学生证。 ——@段子手陈二狗  ,,无,无,无,2020-06-15 11:27,宣和四年的Android,545,21,44
J6JeqCOqV,大家都会说好心疼，所以当个坏心肠的人，是不是就不会疼了。——@奇思乱想吧  ,,无,无,无,2020-06-15 11:15,宣和四年的Android,364,14,32
J6IUeBDUG,“总算降价啦！”Fe3+对Fe2+说。——@新之助和破坏球都有屁屁神功  ,,无,无,无,2020-06-15 10:25,宣和四年的Android,723,35,40
J6Ef41KvQ,组织上同意了罪犯的宽大处理，给他定制了oversized寿衣。——@新之助和破坏球都有屁屁神功  ,,无,无,无,2020-06-14 22:33,宣和四年的Android,525,31,25
J6DEK66We,“很抱歉，我没能挽回他的生命。”医生一边这样说着一边来了一个后空翻，“不过没事，我已经给他整活了。”——59412b22  ,,无,无,无,2020-06-14 21:03,宣和四年的Android,1136,168,62
J6DrI987x,打篮球网络太差队友已经抱着篮球在空中悬浮两个小时了 ——@MSR创始人  ,,无,无,无,2020-06-14 20:31,宣和四年的Android,458,6,19
J6D3Tzlc1,我把你当兄弟，你竟然绿我老婆！——贴吧用户_5JE6tXV  ,,无,无,无,2020-06-14 19:33,宣和四年的Android,1071,40,57
J6BeKkWq5,我将水埋在土里，等它生根发芽——污克兰  ,,无,无,无,2020-06-14 14:54,宣和四年的Android,687,51,53
J6AQNsji0,冰冻三尺非一日之寒，而是十分钟！推销员指着冰箱。——柛  ,,无,无,无,2020-06-14 13:55,宣和四年的Android,343,3,26
J6AbvBr2i,足智多谋的小明常常与他的脚斗智斗勇——Davi_K  ,,无,无,无,2020-06-14 12:13,宣和四年的Android,416,7,18
J6zWK8MTy,小明手无缚鸡之力，上个厕所还要人帮——贴吧用户_Q9C89W2  ,,无,无,无,2020-06-14 11:37,宣和四年的Android,544,6,38
J6zI71ox7,我把你当爷爷，你却把我当孙子？——Davi_K  ,,无,无,无,2020-06-14 11:01,宣和四年的Android,650,10,45
J6zAQ6Jlq,王警官经过大量的调查走访，终于写出了旅游攻略。 ——@WithMeNow  ,,无,无,无,2020-06-14 10:43,宣和四年的Android,426,10,19
J6vfOt8Al,算命先生准备掐指一算，结果用力过度，打了一个响指。 ——@轮到你笑了  ,,无,无,无,2020-06-13 23:40,宣和四年的Android,799,43,46
J6uRgFgBg,两人因约架时间不合而大打出手错过了约架。——@摸鱼校尉罗盛君    ,,无,无,无,2020-06-13 22:39,宣和四年的Android,373,6,19
J6uGwlRPm,在钱的眼睛里，招财猫好像在说：大爷来玩儿啊 ——@守护最好的谐音梗  ,,无,无,无,2020-06-13 22:13,宣和四年的Android,331,12,21
J6uyereuD,守桥士兵记小明大过一次。 ——@宇宙级树莓酱  ,,无,无,无,2020-06-13 21:53,宣和四年的Android,454,5,32
J6tRsFkK8,我是人，希望人没事，我有事，我没有希望。 ——@奇思乱想吧  ,,无,无,无,2020-06-13 20:07,宣和四年的Android,969,125,60
J6tLi2rVH,看了咱俩的共同关注 就知道你不是什么好东西——@翻棱翻棱popop  ,,无,无,无,2020-06-13 19:52,宣和四年的Android,577,20,40
J6tEc7hGY,两个铁球同时着地，你先救哪个？ ——@蒼井十一  ,,无,无,无,2020-06-13 19:34,宣和四年的Android,1773,131,80
J6tDLr2qS,“请各位多多包含...”，空集说道。——Davi_k  ,,无,无,无,2020-06-13 19:33,宣和四年的Android,516,27,25
J6sL9pKUJ,天生牙不白是不是牙白——释放X啊啊啊啊  ,,无,无,无,2020-06-13 17:19,宣和四年的Android,381,13,39
J6soX0Jug,田忌赛马，吉普赛人。木已成舟，蚂蚁森林。臣本布衣，草本植物。十年树木，一周树人。 ——@新之助和破坏球都有屁屁神功  ,,无,无,无,2020-06-13 16:24,宣和四年的Android,1080,191,60
J6sovi7hw,“你看看，能不能先把这事压下来？”高血压患者小心翼翼的问医生——fhdyfigih  ,,无,无,无,2020-06-13 16:23,宣和四年的Android,727,12,18
J6rVUyj9h,我在马路边，捡到一毛钱，把它交到十个警察叔叔手里面——woshixiao0  ,,无,无,无,2020-06-13 15:13,宣和四年的Android,555,26,39
J6rry0Dq6,种族歧视又叫做以色列人——@风桀燚  ,,无,无,无,2020-06-13 13:58,宣和四年的Android,1018,56,64
J6rc87Us3,没有声带就没有发言权 ——@第七迷雾  ,,无,无,无,2020-06-13 13:20,宣和四年的Android,692,5,62
J6r4sFEhj,据国际天文台的观测，我院2010年运动会的跳高冠军仍在持续上升中 ——@蒼井十一  ,,无,无,无,2020-06-13 13:01,宣和四年的Android,555,13,31
J6r32Daqd,既然求偶这么难，那就干脆求个奇吧 ——@但世界拥挤不堪  ,,无,无,无,2020-06-13 12:57,宣和四年的Android,483,64,66
J6pUPFBHL,大家都靠右行驶，那左边的路修来干什么？——@快乐小强love你 （此条有点撞梗，感谢@Chrome-Google浏览器 ）  原图 ,,http://wx2.sinaimg.cn/large/006gMemDgy1gfqx239om4j30u01hc0xx.jpg,无,无,2020-06-13 10:05,宣和四年的Android,1911,68,117
J6lDowOdz,有句话叫先学爬，再学走。我建议诸位想要提升智力的吧友，要循序渐进，爬。——达武智斗巴克莱  ,,无,无,无,2020-06-12 23:11,微博 weibo.com,432,21,43
J6lf2AX8G,大家都是未成年，出手不用客气——L无声嘶吼S  ,,无,无,无,2020-06-12 22:11,微博 weibo.com,670,16,30
J6kWpgvoi,麻烦给我的爱人一杯mojito麻烦给阿姨倒上一杯卡布奇诺——@守护最好的谐音梗  ,,无,无,无,2020-06-12 21:25,宣和四年的Android,585,118,51
J6kQH070e,空口无凭，王警官每次和犯罪分子谈判时都记得嚼两颗口香糖。——@北纬路甲一号花屋小三郎  ,,无,无,无,2020-06-12 21:11,微博 weibo.com,294,1,12
J6kskFGv3,人身上全是肉为什么还要费劲去弄人造肉？——此吧右上角之父  ,,无,无,无,2020-06-12 20:11,微博 weibo.com,378,9,37
J6k3Z3SNO,面对日本漫画里的中文，机智的汉化组将其翻译成了日语。——@北纬路甲一号花屋小三郎  ,,无,无,无,2020-06-12 19:11,微博 weibo.com,431,5,21
J6jhh3R6f,“画个圈圈诅咒你”市长因为对市民不满下令修建环城路——此吧右上角之父  ,,无,无,无,2020-06-12 17:11,微博 weibo.com,348,7,43
J6iuz9ZDS,好心有好报，小明及时扶住摔跤的老爷爷，老爷爷把手中的人民日报送给小明表示感谢。——竹清海芋  ,,无,无,无,2020-06-12 15:11,微博 weibo.com,1217,15,53
J6hHRe7ez,小伙上网翻墙不慎坠落压死网友QQ宠物——老罗叔  ,,无,无,无,2020-06-12 13:11,微博 weibo.com,972,16,39
J6gV9hJvP,小明在作文里写“老师在批阅作文”，老师批阅时评价:结合时事加分——ll一_一o  ,,无,无,无,2020-06-12 11:11,微博 weibo.com,662,8,57
J6g8rquqj,刚生了一胎的老婆属于可再生资源——Mr鬼貀  ,,无,无,无,2020-06-12 09:11,微博 weibo.com,2242,66,253
J6ccUhLhp,在梦里我魂穿成为明天醒来的自己——每天抬头见喜  ,,无,无,无,2020-06-11 23:11,微博 weibo.com,368,15,28
J6bOy53cX,真正聪明的婴儿会为自己接生。——竹清海芋  ,,无,无,无,2020-06-11 22:11,微博 weibo.com,644,4,57
J6bqc6vId,只要功夫深，铁杵磨成一股铁原子束——ll一_一o  ,,无,无,无,2020-06-11 21:11,微博 weibo.com,441,5,33
J6b1Q77lF,谁说你一无是处了？这不全是短处么？——ll一_一o  ,,无,无,无,2020-06-11 20:11,微博 weibo.com,398,8,35
J6aDud8Yf,现在我扶老爷爷过马路，将来老爷爷能扶我过马路吗？——竹清海芋  ,,无,无,无,2020-06-11 19:11,微博 weibo.com,793,10,60
J69QMcod2,食人族孕妇因自带食物被赶出饭店。——贴吧用户_Q1Z43AC  ,,无,无,无,2020-06-11 17:11,微博 weibo.com,714,11,33
J6944gVMK,这本说明书成了研究明朝的重要资料——光谷怎么写  ,,无,无,无,2020-06-11 15:11,微博 weibo.com,588,11,32
J68hmqQdj,想考结婚证，问一下要考几门——卫鲤  ,,无,无,无,2020-06-11 13:11,微博 weibo.com,1388,75,60
J67uEsxyu,过山车上的尖叫声其实都是车子自己叫出来的——L无声嘶吼S  ,,无,无,无,2020-06-11 11:11,微博 weibo.com,547,8,37
J66HWtMgb,小明花钱买了个教训竟不支持七天无理由退换——西界の暗影  ,,无,无,无,2020-06-11 09:11,微博 weibo.com,513,8,38
J62QK7Qoo,今日说法明日香——@乙二醇喵君  ,,无,无,无,2020-06-10 23:21,宣和四年的Android,759,21,72
J62DqudqM,你也是屁股吗怎么还有另一瓣——@酢乙女小熊  ,,无,无,无,2020-06-10 22:48,宣和四年的Android,584,24,42
J62tc0IwG,为什么这本BL小说没有另一个人的描写，因为这是一本攻略小说——@夜矽_  ,,无,无,无,2020-06-10 22:23,宣和四年的Android,562,65,49
J62aQseMt,法国国旗在战场上大惊失色——@長白丁某  ,,无,无,无,2020-06-10 21:38,宣和四年的Android,651,42,24
J61WLbELd,东=歪头杀——@人型派  ,,无,无,无,2020-06-10 21:03,宣和四年的Android,806,96,75
J61kKCE2X,发言环节中，小明率先打破了尴尬，尴尬的气氛就从裂缝中漏了出来——@三米汤  ,,无,无,无,2020-06-10 19:30,宣和四年的Android,264,9,12
J60OJ1CmP,现在天气这么热，微博热搜放一个礼拜不变，会不会热馊了啊？ ——@奇思乱想吧  ,,无,无,无,2020-06-10 18:11,宣和四年的Android,1594,35,59
J60x0no0d,物以稀为贵，今天我熬的这粥，你怕是喝不起——@听蜀黍讲那过去的故事  ,,无,无,无,2020-06-10 17:27,宣和四年的Android,572,17,37
J5ZIn49C1,“不是说三十而立吗？”阳痿患者疑惑地问。——@青椒冰汽水  ,,无,无,无,2020-06-10 15:22,宣和四年的Android,644,4,49
J5YSKyzti,北京话里的“您猜怎么着”和美剧里的“you know what”是不是一个意思——@滑动变阻枪  ,,无,无,无,2020-06-10 13:15,宣和四年的Android,1422,89,106
J5YvDrkvW,"ちんこbells,ちんこbells, ちんこall the way——@FuglyChung  ",,无,无,无,2020-06-10 12:18,宣和四年的Android,558,58,52
J5YpXvAuu,王老汉在闲鱼上卖屎，声称是卖二手食品。——@马壮壮1984  ,,无,无,无,2020-06-10 12:04,宣和四年的Android,317,10,44
J5YaKBKcU,为了裁员，万人血书现改为千人精书——@邓不利不少  ,,无,无,无,2020-06-10 11:27,宣和四年的Android,306,6,29
J5XQTwNhe,小明因睡过头而错过出生——@大白兔爷糖ovo  ,,无,无,无,2020-06-10 10:38,宣和四年的Android,531,11,38
J5XqwgaKh,将军，敌军已经摆好了阵势，问咱们啥时候过去联谊 ——@蒼井十一  ,,无,无,无,2020-06-10 09:33,宣和四年的Android,337,3,16
J5TuQ8DqH,人流医生承诺，今天做手术，明天就上班。被美国资本家紧急招聘——欧小丽07  ,,无,无,无,2020-06-09 23:33,微博 weibo.com,284,1,41
